run_id	arm_name	seed	run_seed	rng_seed_internal	level	proposal_index	current_sample_id	proposal_sample_id	proxy_mode	l0_guard_mode	proxy_score_current	proxy_score_proposal	reverse_proxy_score	reverse_proxy_success	truth_score_current	truth_score_proposal	truth_success_current	truth_success_proposal	truth_failed_current	truth_failed_proposal	stage1_accept	final_accept	reverse_proxy_reject	truth_evaluated	proxy_evaluated	wall_time_proxy	wall_time_truth	current_damage_state_hash	damage_state_hash	n_line_out_current	n_line_out	dcopf_success	l0_score	da_score	flow_score	proxy_success_current	proxy_success_proposal
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	1			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	True	False	True	True	0.058873820991721004	0.025390102004166692	8881e42e87e6339994c61371f29dcb3bacb2492c	a133cbb75a9bcbe2271cac8dfb5b932d630d6660	3	3	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	2			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	True	False	True	True	0.05365965099190362	0.019912672010832466	c0bf4b0ce29660d841905f5ebb7546c50196fc8b	f340c3147bc0f347c9960ca223e90667d51aa6fb	1	2	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	3			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	True	False	True	True	0.05173622799338773	0.020807381995837204	2cd29fcadd205b9929628bbc2f29d03294c15c1a	f909b09481a05f04cd211bf06e6123c1dabbf6f4	4	3	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	4			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	False	False	True	True	0.046210469998186454	0.01923880699905567	3df1bd1df2d7f390623cac526847aaa5008060fe	453ceb37e7e2560710384aa178b2f81152ccb33a	2	3	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	5			dcopf	failure_label		-0.06000000000000005			inf		False		True		False	False	False	False	True	0.02941944499616511	0.0	4e4c35954118b19acd43d2529716a50684a8fbb0	d8237aa469187b1435779003332c9da21098eb4a	2	1	True					True
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	6			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	False	False	True	True	0.045259896985953674	0.01929120199929457	e58de1cc463deacf2d2e0ac22619676ea8d899df	8af8908c0aac70d6e54b4b1f427f2fdf200b9670	3	4	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	7			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	False	False	True	True	0.04562311101472005	0.02175566100049764	ede6810e5f99334cdd15bc676082ee4b2b568fcb	8919a689a6e17ee192fda6a4a169d7108162ecd0	3	4	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	8			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	True	False	True	True	0.04344205299275927	0.01903016900178045	3ace208a075207ef6df66f082e1d2fd359709e8e	c8b356db186cee0719bbb4951e73d722fe166384	5	5	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	9			dcopf	failure_label		inf	inf	False	inf	inf	False	False	True	True	True	True	False	True	True	0.04743954000878148	0.02042823399824556	88fd3c85d066f616d1dbdf151fb69c13c76361ec	fc9d2cac0b754b065bfa75b2ffccc8ab5cc73454	3	2	False					False
case118_corrected_da_dcopf_seed901_N1000_lop0008	corrected_da_dcopf	901	901	902	1	10			dcopf	failure_label		-0.06000000000000005			inf		False		True		False	False	False	False	True	0.030779458000324667	0.0	2a1ee623e823b70db6535f92e7684003bc4303e5	1c02bbf3dea292304a4514af98d28ebce1b7d4aa	1	1	True					True
